Sample_ID	Grid_cel	Decade
H_Vaat_004	CH	1950
H_Vaat_013	CH	1960
H_Vaat_040	CH	1970
H_Vaat_026	CH	1960
H_Vaat_030	CH	1970
H_Vaat_022	CH	1910
H_Vaat_021	CH	1910
H_Vaat_025	CH	1950
H_Vaat_035	CH	1960
H_Vaat_039	CH	1970
H_Vaat_029	CH	1970
H_Vaat_011	CH	1960
H_Vaat_032	CH	1910
H_Vaat_014	CH	1960
H_Vaat_017	CH	1910
H_Vaat_024	CH	1950
H_Vaat_007	CH	1950
H_Vaat_034	CH	1960
H_Vaat_019	CH	1910
H_Vaat_027	CH	1960
H_Vaat_018	CH	1910
H_Vaat_020	CH	1910
H_Vaat_028	CH	1960
H_Vaat_023	CH	1950
H_Vaat_031	CH	1910
H_Vaat_037	CH	1970
H_Vaat_033	CH	1960
H_Vaat_012	CH	1960
H_Vaat_001	CH	1910
H_Vaat_005	CH	1950
H_Vaat_002	CH	1950
H_Vaat_010	CH	1910
H_Vaat_006	CH	1950
H_Vaat_008	CH	1950
H_Vaat_015	CH	1970
H_Vaat_009	CH	1970
C_Vaat_008	CH	2022
C_Vaat_010	CH	2022
C_Vaat_012	CH	2022
C_Vaat_003	CH	2022
C_Vaat_006	CH	2022
C_Vaat_015	CH	2022
C_Vaat_014	CH	2022
C_Vaat_001	CH	2022
